MJ文字図形名,読み
MJ000451,ケン
MJ000451,ゲン
MJ000452,ケキ
MJ000452,ギャク
MJ000453,シツ
MJ000453,シチ
MJ000454,ホウ
MJ000454,ヒョウ
MJ000455,レイ
MJ000455,ライ
MJ000456,ラン
MJ000457,ラン
MJ000457,カン
MJ000458,ガン
MJ000458,ゲン
MJ000459,ガン
MJ000459,ゲン
MJ000459,ゲキ
MJ000459,ギャク
MJ000460,カン
MJ000461,シュウ
MJ000462,ジュウ
MJ000462,ノウ
MJ000462,ドウ
MJ000462,ニョウ
MJ000463,ジュ
MJ000463,シュウ
MJ000463,とらえる
MJ000464,カ
MJ000464,ワ
MJ000465,ソウ
MJ000466,ヒョク
MJ000466,ヒキ
MJ000467,コウ
MJ000468,オウ
MJ000469,ケン
MJ000469,セン
MJ000469,ゼン
MJ000470,ワン
MJ000470,エン
MJ000471,ユウ
MJ000472,キン
MJ000472,ゴン
MJ000473,ジョ
MJ000474,カイ
MJ000474,ケ
MJ000474,ジョウ
MJ000474,ニョウ
MJ000476,ヒ
MJ000477,コウ
MJ000478,セイ
MJ000478,ジョウ
MJ000479,ブツ
MJ000480,オウ
MJ000481,シン
MJ000482,タン
MJ000483,キク
MJ000483,コク
MJ000484,キュウ
MJ000485,ザ
MJ000485,すわる
MJ000486,ザ
MJ000486,すわる
MJ000486,そぞろに
MJ000486,おわす
MJ000487,ケツ
MJ000488,ガイ
MJ000489,ザ
MJ000490,シ
MJ000491,ハツ
MJ000492,イン
MJ000493,デツ
MJ000493,ネチ
MJ000494,リュウ
MJ000494,ル
MJ000494,キュウ
MJ000494,ク
MJ000495,バイ
MJ000495,メ
MJ000495,ボク
MJ000495,モク
MJ000496,タイ
MJ000498,ホウ
MJ000499,ヘイ
MJ000499,きざはし
MJ000500,ヒ
MJ000500,ビ
MJ000500,ヘイ
MJ000500,ベイ
MJ000500,きざはし
MJ000501,ホウ
MJ000502,チョク
MJ000502,チク
MJ000502,ジョク
MJ000502,ニク
MJ000503,カ
MJ000503,ケ
MJ000504,テン
MJ000505,チョウ
MJ000505,ジョウ
MJ000506,イ
MJ000507,フク
MJ000508,タ
MJ000509,ウ
MJ000511,ヤ
MJ000511,の
MJ000513,キ
MJ000513,ギ
MJ000514,カン
MJ000514,イ
MJ000515,カイ
MJ000517,リョウ
MJ000517,リュ
MJ000517,ボウ
MJ000517,モ
MJ000517,モウ
MJ000518,セイ
MJ000518,ショウ
MJ000519,ホ
MJ000519,フ
MJ000520,ホ
MJ000520,フ
MJ000522,キョウ
MJ000522,コウ
MJ000523,ギツ
MJ000523,ゴチ
MJ000524,エイ
MJ000525,ショウ
MJ000525,シュ
MJ000526,バン
MJ000526,マン
MJ000526,ぬる
MJ000527,チョウ
MJ000528,カ
MJ000528,ケ
MJ000529,コン
MJ000530,リュウ
MJ000530,ル
MJ000531,キ
MJ000532,リョウ
MJ000533,エイ
MJ000533,イ
MJ000534,シュウ
MJ000535,ギン
MJ000536,ゲイ
MJ000537,カイ
MJ000538,コウ
MJ000539,ヨウ
MJ000539,ふさぐ
MJ000540,カン
MJ000541,セン
MJ000542,タイ
MJ000543,ドウ
MJ000544,チョウ
MJ000544,チュウ
MJ000545,ハク
MJ000546,ボウ
MJ000546,モウ
MJ000547,キ
MJ000548,テン
MJ000549,ルイ
MJ000550,カク
MJ000551,キ
MJ000552,キョウ
MJ000553,ドウ
MJ000553,ノウ
MJ000554,ウン
MJ000554,イン
MJ000554,エツ
MJ000554,エチ
MJ000555,リュ
MJ000555,リュウ
MJ000556,フク
MJ000556,ブク
MJ000556,かえる
MJ000557,ソウ
