MJ文字図形名,部首1,内画数1
MJ文字図形名,部首2,内画数2
MJ文字図形名,部首3,内画数3
MJ文字図形名,部首4,内画数4
MJ001007,52,11
MJ001008,52,11
MJ001009,52,13
MJ001010,53,3
MJ001011,53,3
MJ001013,53,3
MJ001014,53,4
MJ001015,53,4
MJ001016,53,5
MJ001017,53,5
MJ001018,53,5
MJ001019,53,5
MJ001020,53,5
MJ001021,53,5
MJ001022,53,5
MJ001023,53,5
MJ001024,53,6
MJ001025,53,6
MJ001026,53,6
MJ001027,53,6
MJ001028,53,6
MJ001029,53,6
MJ001030,53,6
MJ001031,53,7
MJ001032,53,7
MJ001033,53,7
MJ001034,53,7
MJ001035,53,8
MJ001036,53,8
MJ001037,53,8
MJ001038,53,8
MJ001039,53,9
MJ001040,53,9
MJ001041,53,9
MJ001042,53,10
MJ001043,53,11
MJ001044,53,11
MJ001045,53,11
MJ001046,53,11
MJ001047,53,12
MJ001048,53,12
MJ001050,53,13
MJ001051,53,13
MJ001052,53,13
MJ001053,53,13
MJ001054,53,16
MJ001055,53,17
MJ001056,54,3
MJ001057,55,11
MJ001058,55,12
MJ001059,55,12
MJ001060,55,13
MJ001061,55,12
MJ001062,56,6
MJ001063,56,10
MJ001064,57,1
MJ001065,57,3
MJ001066,57,3
MJ001067,57,3
MJ001068,57,4
MJ001069,57,5
MJ001070,57,5
MJ001071,57,5
MJ001073,57,6
MJ001074,57,6
MJ001075,57,6
MJ001076,57,5
MJ001077,57,6
MJ001078,57,6
MJ001079,57,7
MJ001080,57,8
MJ001081,57,8
MJ001082,57,8
MJ001083,57,9
MJ001084,57,9
MJ001085,57,10
MJ001086,57,10
MJ001087,57,10
MJ001088,57,11
MJ001089,57,12
MJ001090,57,12
MJ001091,57,18
MJ001092,58,5
MJ001093,58,5
MJ001094,58,13
MJ001095,59,3
MJ001096,59,5
MJ001097,59,5
MJ001098,59,5
MJ001099,59,8
MJ001100,59,9
MJ001101,59,9
MJ001102,59,11
MJ001103,59,12
MJ001104,59,13
MJ001105,60,2
MJ001106,60,5
MJ001107,60,5
MJ001108,60,6
MJ001109,60,6
MJ001110,60,6
MJ001111,60,6
MJ001112,60,6
MJ001113,60,6
MJ001114,60,6
MJ001115,60,7
MJ001116,60,7
MJ001117,60,8
MJ001118,60,8
MJ001119,60,8
MJ001120,60,9
MJ001121,60,9
MJ001122,60,9
MJ001123,60,9
MJ001124,60,10
MJ001125,60,11
MJ001126,60,11
MJ001127,60,11
MJ001128,60,13
MJ001129,60,13
MJ001130,60,14
MJ001132,61,0
MJ001133,61,0
MJ001134,61,2
MJ001135,61,3
MJ001136,61,3
MJ001137,61,3
MJ001138,61,3
MJ001139,61,3
MJ001140,61,4
MJ001141,61,4
MJ001142,61,4
MJ001143,61,4
MJ001144,61,4
MJ001145,61,4
MJ001146,61,4
MJ001148,61,4
MJ001149,61,4
MJ001150,61,4
MJ001151,61,4
MJ001152,61,4
MJ001153,61,5
MJ001154,61,5
MJ001155,61,5
MJ001156,61,5
MJ001157,61,5
MJ001158,61,5
MJ001159,61,5
MJ001160,61,5
MJ001161,61,5
MJ001162,61,5
MJ001163,61,5
MJ001164,61,5
MJ001165,61,5
MJ001165,85,−
MJ001166,61,5
MJ001167,61,6
MJ001168,61,6
MJ001169,61,6
MJ001170,61,6
MJ001171,61,6
MJ001172,61,6
MJ001173,61,6
MJ001174,61,6
MJ001175,61,6
